item_name,category,price,item_id,available_stock
Customized Photo Frame,Gifts,34.99,1,125
Engraved Keychain,Gifts,14.99,2,15
Executive Leather Notebook,Office Supplies,44.99,3,63
Leather Belt,Apparel,49.99,4,64
Inspirational Book,Books,14.99,5,149
Desk Organizer Set,Office Supplies,34.99,6,76
Leather Belt,Apparel,49.99,7,133
E-Reader,Books,129.99,8,196
Silk Scarf,Apparel,59.99,9,187
Wireless Headphones,Electronics,99.99,10,106
Decorative Throw Pillow,Home Decor,29.99,11,179
Desk Organizer Set,Office Supplies,34.99,12,21
Artisanal Cheese Basket,Food & Beverage,69.99,13,53
Gourmet Chocolate Box,Food & Beverage,29.99,14,82
Inspirational Book,Books,14.99,15,188
E-Reader,Books,129.99,16,79
Gourmet Chocolate Box,Food & Beverage,29.99,17,129
Wireless Headphones,Electronics,99.99,18,27
Wall Art Painting,Home Decor,89.99,19,179
Artisanal Cheese Basket,Food & Beverage,69.99,20,179
Cashmere Sweater,Apparel,129.99,21,37
Wireless Headphones,Electronics,99.99,22,84
Wall Art Painting,Home Decor,89.99,23,69
Wall Art Painting,Home Decor,89.99,24,140
Luxury Pen Set,Office Supplies,49.99,25,90
Engraved Keychain,Gifts,14.99,26,162
Leather Belt,Apparel,49.99,27,32
Scented Candle Set,Home Decor,24.99,28,60
Desk Organizer Set,Office Supplies,34.99,29,127
Leather Belt,Apparel,49.99,30,192
Wireless Headphones,Electronics,99.99,31,20
Smartwatch,Electronics,199.99,32,145
Customized Photo Frame,Gifts,34.99,33,95
Engraved Keychain,Gifts,14.99,34,110
Scented Candle Set,Home Decor,24.99,35,14
Cashmere Sweater,Apparel,129.99,36,185
Cashmere Sweater,Apparel,129.99,37,100
Customized Photo Frame,Gifts,34.99,38,70
Desk Organizer Set,Office Supplies,34.99,39,80
Gourmet Chocolate Box,Food & Beverage,29.99,40,170
Artisanal Cheese Basket,Food & Beverage,69.99,41,109
Wireless Headphones,Electronics,99.99,42,152
Artisanal Cheese Basket,Food & Beverage,69.99,43,67
Silk Scarf,Apparel,59.99,44,97
Wall Art Painting,Home Decor,89.99,45,178
Silk Scarf,Apparel,59.99,46,32
Wall Art Painting,Home Decor,89.99,47,143
E-Reader,Books,129.99,48,170
Smartwatch,Electronics,199.99,49,116
Smartwatch,Electronics,199.99,50,156
Silk Scarf,Apparel,59.99,51,119
Customized Photo Frame,Gifts,34.99,52,164
Executive Leather Notebook,Office Supplies,44.99,53,124
Leather Belt,Apparel,49.99,54,43
Inspirational Book,Books,14.99,55,177
Silk Scarf,Apparel,59.99,56,158
Leather Belt,Apparel,49.99,57,185
Inspirational Book,Books,14.99,58,45
Customized Photo Frame,Gifts,34.99,59,186
Desk Organizer Set,Office Supplies,34.99,60,44
Fitness Tracker,Electronics,149.99,61,47
Decorative Throw Pillow,Home Decor,29.99,62,50
Executive Leather Notebook,Office Supplies,44.99,63,27
Leather Belt,Apparel,49.99,64,146
Luxury Pen Set,Office Supplies,49.99,65,57
Executive Leather Notebook,Office Supplies,44.99,66,47
Wireless Headphones,Electronics,99.99,67,91
Fitness Tracker,Electronics,149.99,68,115
Customized Photo Frame,Gifts,34.99,69,123
Artisanal Cheese Basket,Food & Beverage,69.99,70,48
Inspirational Book,Books,14.99,71,37
Silk Scarf,Apparel,59.99,72,57
Wireless Headphones,Electronics,99.99,73,166
E-Reader,Books,129.99,74,78
E-Reader,Books,129.99,75,155
E-Reader,Books,129.99,76,69
E-Reader,Books,129.99,77,69
Smartwatch,Electronics,199.99,78,185
Wireless Headphones,Electronics,99.99,79,101
Personalized Coffee Mug,Gifts,19.99,80,186
Engraved Keychain,Gifts,14.99,81,44
Desk Organizer Set,Office Supplies,34.99,82,164
Engraved Keychain,Gifts,14.99,83,192
Cashmere Sweater,Apparel,129.99,84,57
Wall Art Painting,Home Decor,89.99,85,135
Engraved Keychain,Gifts,14.99,86,45
Scented Candle Set,Home Decor,24.99,87,59
Smartwatch,Electronics,199.99,88,18
Fitness Tracker,Electronics,149.99,89,13
Artisanal Cheese Basket,Food & Beverage,69.99,90,115
Smartwatch,Electronics,199.99,91,200
Inspirational Book,Books,14.99,92,62
Personalized Coffee Mug,Gifts,19.99,93,55
Premium Tea Collection,Food & Beverage,39.99,94,167
Engraved Keychain,Gifts,14.99,95,186
Executive Leather Notebook,Office Supplies,44.99,96,127
Smartwatch,Electronics,199.99,97,119
Wall Art Painting,Home Decor,89.99,98,20
E-Reader,Books,129.99,99,198
Wall Art Painting,Home Decor,89.99,100,194
