click_id,user_id,item_id,clicked_at
1,49,5,2024-02-24 07:28:20
2,60,5,2024-08-06 20:14:02
3,33,5,2024-06-09 13:39:03
4,2,1,2024-04-29 18:07:41
5,88,5,2024-07-08 03:39:11
6,97,3,2024-06-29 12:28:25
7,99,3,2024-06-11 09:58:40
8,15,3,2024-04-19 16:13:33
9,56,2,2024-04-30 17:38:31
10,59,1,2024-03-14 22:58:45
11,93,3,2024-02-19 06:20:49
12,65,2,2024-05-04 15:00:27
13,65,1,2024-01-13 08:15:01
14,81,3,2024-04-22 05:38:17
15,82,5,2024-03-08 04:40:46
16,78,2,2024-01-02 22:46:42
17,20,3,2024-06-07 06:05:23
18,98,2,2024-07-20 16:59:29
19,70,5,2024-06-26 22:49:05
20,1,5,2024-09-06 00:02:27
21,42,4,2024-07-19 03:26:12
22,3,1,2024-06-03 08:12:05
23,47,3,2024-08-04 00:50:40
24,31,1,2024-07-08 01:30:24
25,31,5,2024-05-16 13:00:52
26,11,1,2024-03-15 05:30:00
27,94,4,2024-07-28 01:28:55
28,9,5,2024-03-11 04:04:06
29,99,2,2024-02-20 07:40:59
30,17,4,2024-02-11 13:07:08
31,71,2,2024-05-20 13:29:45
32,34,5,2024-02-10 12:27:42
33,78,4,2024-07-01 19:12:39
34,28,5,2024-06-16 23:06:45
35,97,2,2024-09-12 20:33:03
36,92,3,2024-03-22 01:07:05
37,52,3,2024-07-18 15:24:15
38,57,5,2024-01-27 10:44:32
39,58,1,2024-07-20 15:48:50
40,32,2,2024-05-08 21:54:33
41,9,3,2024-02-07 04:21:50
42,3,5,2024-09-10 14:10:45
43,71,2,2024-07-22 08:47:10
44,76,2,2024-05-09 16:23:34
45,1,1,2024-08-17 19:50:37
46,91,1,2024-01-25 01:18:55
47,30,1,2024-03-11 13:18:27
48,5,3,2024-01-17 10:42:34
49,10,5,2024-03-24 07:46:31
50,31,3,2024-04-27 07:02:42
51,86,4,2024-03-22 04:11:51
52,28,5,2024-06-13 22:17:17
53,17,5,2024-04-17 10:15:17
54,74,4,2024-07-19 01:16:42
55,32,4,2024-01-02 01:43:31
56,53,2,2024-04-18 00:01:01
57,13,1,2024-02-21 13:21:16
58,85,4,2024-08-22 02:28:57
59,46,4,2024-07-01 10:02:09
60,53,4,2024-04-23 10:21:59
61,94,1,2024-01-15 07:56:15
62,87,1,2024-01-09 04:01:07
63,8,4,2024-03-30 06:38:46
64,94,3,2024-06-05 13:04:29
65,14,2,2024-05-05 21:16:33
66,25,2,2024-07-25 21:12:49
67,69,4,2024-05-03 21:00:15
68,18,4,2024-03-24 21:55:40
69,24,3,2024-03-15 15:17:03
70,60,2,2024-05-02 11:34:30
71,10,4,2024-07-29 15:48:07
72,71,1,2024-02-26 07:58:30
73,7,5,2024-03-16 14:11:54
74,2,1,2024-06-26 02:24:34
75,97,2,2024-01-19 10:47:44
76,22,4,2024-02-23 06:56:17
77,63,4,2024-03-14 20:33:34
78,28,4,2024-01-03 07:31:09
79,8,2,2024-08-26 20:04:23
80,49,1,2024-07-20 14:38:53
81,50,3,2024-06-21 05:40:59
82,59,3,2024-02-20 18:15:04
83,55,5,2024-04-03 17:01:18
84,85,4,2024-04-07 14:17:35
85,20,2,2024-01-06 03:28:28
86,38,2,2024-06-16 07:21:30
87,8,5,2024-07-28 00:46:55
88,95,5,2024-01-29 02:44:42
89,8,3,2024-06-29 00:23:53
90,8,1,2024-03-18 23:32:33
91,75,4,2024-01-20 19:26:56
92,65,5,2024-05-02 05:09:37
93,21,1,2024-08-07 11:28:22
94,66,1,2024-02-02 16:32:56
95,24,1,2024-02-11 10:04:20
96,77,1,2024-01-24 09:58:08
97,87,2,2024-01-20 21:24:29
98,52,1,2024-06-13 23:01:05
99,73,2,2024-01-24 23:09:40
100,75,5,2024-06-06 17:37:33
101,6,5,2024-03-10 11:36:10
102,11,4,2024-03-10 11:14:12
103,85,5,2024-04-19 01:53:26
104,73,5,2024-07-21 02:37:19
105,41,3,2024-07-27 21:35:21
106,27,3,2024-03-22 06:02:37
107,31,3,2024-06-19 19:02:57
108,51,2,2024-06-03 09:38:04
109,86,3,2024-06-02 16:37:23
110,59,3,2024-09-03 15:49:31
111,97,1,2024-04-26 06:47:09
112,2,4,2024-07-20 07:26:20
113,80,5,2024-01-12 05:22:30
114,13,1,2024-07-27 15:54:29
115,69,2,2024-03-18 18:57:46
116,65,3,2024-05-10 18:00:46
117,17,3,2024-03-14 08:16:07
118,9,2,2024-02-03 22:51:12
119,48,3,2024-02-21 09:14:44
120,21,4,2024-06-24 06:33:30
121,70,3,2024-01-12 14:20:25
122,79,5,2024-02-10 01:07:16
123,2,5,2024-01-30 22:11:16
124,39,1,2024-04-18 16:39:33
125,18,3,2024-04-28 10:20:13
126,15,1,2024-09-07 18:06:33
127,96,5,2024-07-11 08:11:23
128,20,3,2024-01-23 18:22:42
129,37,5,2024-08-01 21:01:22
130,27,3,2024-09-04 19:57:53
131,27,3,2024-08-26 10:27:51
132,65,4,2024-04-01 05:33:27
133,33,1,2024-08-28 15:39:15
134,12,4,2024-05-09 06:36:38
135,36,1,2024-06-07 18:32:02
136,1,3,2024-04-25 17:20:06
137,99,2,2024-06-30 17:09:48
138,82,3,2024-08-29 06:07:39
139,21,4,2024-03-05 16:55:37
140,71,4,2024-02-28 11:32:09
141,72,1,2024-07-12 22:30:48
142,15,1,2024-04-29 23:40:07
143,89,2,2024-02-11 18:43:13
144,70,1,2024-06-26 23:22:01
145,48,5,2024-05-15 07:04:14
146,71,2,2024-08-09 06:09:33
147,56,2,2024-06-05 18:56:43
148,6,3,2024-07-13 23:03:38
149,47,1,2024-06-24 23:15:23
150,46,2,2024-02-16 17:16:40
151,88,2,2024-01-27 08:22:35
152,86,1,2024-04-14 07:59:30
153,46,5,2024-04-25 09:40:04
154,53,5,2024-03-09 03:18:51
155,96,2,2024-02-09 19:35:19
156,31,2,2024-04-02 10:57:23
157,23,4,2024-08-13 02:39:04
158,4,2,2024-07-05 20:32:57
159,95,3,2024-05-29 20:24:15
160,53,2,2024-06-06 12:20:44
161,35,2,2024-04-04 17:17:15
162,90,1,2024-07-02 14:38:33
163,49,1,2024-02-02 04:55:17
164,61,2,2024-08-19 00:11:55
165,26,4,2024-05-13 02:48:07
166,45,3,2024-08-09 13:40:27
167,30,2,2024-06-10 11:34:19
168,4,2,2024-09-06 11:28:11
169,52,3,2024-03-27 17:27:09
170,36,1,2024-08-05 17:17:26
171,99,3,2024-05-16 16:34:43
172,45,5,2024-05-15 13:18:45
173,52,5,2024-08-09 07:52:23
174,43,1,2024-04-23 07:16:05
175,15,3,2024-06-20 07:29:41
176,23,5,2024-04-27 18:49:05
177,34,1,2024-08-14 12:51:59
178,14,5,2024-02-21 05:55:56
179,56,3,2024-05-17 18:33:12
180,94,3,2024-08-25 03:16:19
181,56,5,2024-03-12 04:47:13
182,66,1,2024-06-07 02:50:41
183,50,5,2024-07-26 03:06:46
184,25,3,2024-05-22 00:36:05
185,6,4,2024-05-22 08:49:36
186,1,5,2024-01-17 14:43:17
187,69,2,2024-04-09 08:52:45
188,47,4,2024-09-03 06:40:55
189,9,3,2024-06-18 11:07:03
190,80,3,2024-03-06 08:59:01
191,85,1,2024-01-04 22:02:48
192,93,3,2024-05-13 06:23:45
193,65,3,2024-04-27 11:23:08
194,86,4,2024-03-10 13:30:52
195,42,4,2024-06-04 17:56:37
196,90,3,2024-02-04 04:15:23
197,71,2,2024-06-07 09:44:29
198,25,4,2024-03-15 17:15:12
199,86,4,2024-01-19 21:53:16
200,87,2,2024-04-11 03:45:41
201,79,5,2024-05-31 08:34:55
202,39,4,2024-06-17 18:11:53
203,71,1,2024-01-07 10:33:34
204,39,3,2024-01-13 23:51:52
205,27,4,2024-06-12 04:13:07
206,75,5,2024-05-16 07:48:08
207,84,3,2024-07-02 19:22:08
208,60,4,2024-02-09 12:32:27
209,57,2,2024-02-06 08:53:23
210,66,4,2024-02-21 21:05:46
211,95,2,2024-01-24 03:33:37
212,85,1,2024-04-13 15:32:47
213,37,5,2024-06-07 15:13:28
214,85,5,2024-09-10 19:50:31
215,43,1,2024-09-03 15:43:35
216,97,2,2024-04-18 02:41:34
217,87,3,2024-04-06 00:39:25
218,29,2,2024-07-16 15:20:28
219,19,1,2024-07-04 21:37:42
220,6,2,2024-03-06 05:35:01
221,61,5,2024-03-31 20:57:29
222,99,1,2024-07-03 16:44:28
223,59,4,2024-07-28 20:31:19
224,81,5,2024-06-12 02:05:52
225,25,4,2024-08-03 21:53:13
226,64,4,2024-07-16 07:19:36
227,32,2,2024-08-08 04:18:56
228,84,1,2024-01-17 00:09:58
229,97,1,2024-09-07 00:20:50
230,100,4,2024-09-04 00:12:30
231,29,2,2024-05-02 11:58:35
232,90,5,2024-07-07 04:58:58
233,60,1,2024-08-30 09:40:32
234,72,2,2024-01-10 13:58:59
235,16,4,2024-05-07 04:09:14
236,18,4,2024-05-02 04:53:20
237,86,5,2024-02-09 08:48:05
